  AA_grade      PP_grade     PC_grade     PA_grade     POO_grade     movie_id     rating  
      9            7            2            1             5            1           9     
      5            6            4            9             6            5           3     
      9            6            9            3             1            3           1     
      7            2            5            4             3            2           2     
      6            4            3            9             1            8           1     
      8            10           9            2             7            13          4     
     10            9            8            5             3            12          2     
      5            1            7            10            3            11          5     
      1            2            4            1             7            9           7     
      8            2            6            8             4            14          3     
      8            6            7            4             6            7           2     
     10            1            6            2             5            6           5     
      9            10           3            10            2            10          10    
      9            3            2            4             5            4           8     
      9            9            1            8             9            20          3     
      9            6            10           2             7            16          3     
      9            7            5            9             2            17          5     
      8            10           9            2             7            18          2     
      3            7            1            3             9            19          8     
      4            8            5            6             5            15          4     
      8            2            1            9             6            22          6     
      3            1            8            6             3            25          3     
      1            5            8            2             3            30          3     
      7            8            5            7             3            29          6     
      8            5            2            1            10            21          10    
      2            5            10           9             5            26          5     
      5            1            2            8             4            28          4     
      8            7            3            3             4            24          4     
      2            7            8            4             2            23          2     
      2            8            10           3            10            27          10    
