  movie_id                             title                          
      1                           Toy Story (1995)                    
      2                           GoldenEye (1995)                    
      3                          Four Rooms (1995)                    
      4                          Get Shorty (1995)                    
      5                            Copycat (1995)                     
      6         Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)  
      7                        Twelve Monkeys (1995)                  
      8                             Babe (1995)                       
      9                       Dead Man Walking (1995)                 
     10                          Richard III (1995)                   
     11                         Seven (Se7en) (1995)                  
     12                      Usual Suspects, The (1995)               
     13                       Mighty Aphrodite (1995)                 
     14                          Postino, Il (1994)                   
     15                      Mr. Holland's Opus (1995)                
     16                  French Twist (Gazon maudit) (1995)           
     17                      From Dusk Till Dawn (1996)               
     18                      White Balloon, The (1995)                
     19                        Antonia's Line (1995)                  
     20                          Schizopolis (1996)                   
     21                           Cure, The (1995)                    
     22                         Tom and Huck (1995)                   
     23                       Gumby: The Movie (1995)                 
     24                           Hideaway (1995)                     
     25                Visitors, The (Visiteurs, Les) (1993)          
     26                     Little Princess, The (1939)               
     27                      Nina Takes a Lover (1994)                
     28                      Bhaji on the Beach (1993)                
     29                              Raw (2016)                       
     30                          Nightwatch (1997)                    
